Symbol	Mutations	Samples	Samples (%)	Cohorts
TP53	562	472	38.85	6
KRAS	297	289	23.79	6
EGFR	346	288	23.7	6
KEAP1	155	139	11.44	6
LRP1B	497	107	8.81	3
STK11	149	103	8.48	6
CDH10	152	100	8.23	2
BRAF	72	66	5.43	5
ATM	101	64	5.27	4
SMARCA4	88	62	5.1	4
RBM10	87	55	4.53	5
NF1	127	51	4.2	2
KDR	83	49	4.03	2
APC	101	45	3.7	3
PIK3CA	58	44	3.62	3
CTNND2	143	41	3.37	2
SETD2	68	39	3.21	2
MGA	68	38	3.13	1
ZEB1	59	37	3.05	1
ARID1A	62	36	2.96	2
RB1	57	33	2.72	3
RGS7	52	33	2.72	2
CTNNB1	38	29	2.39	2
CDKN2A	39	27	2.22	3
ARID2	49	24	1.98	1
U2AF1	25	22	1.81	3
MET	41	22	1.81	3
CMTR2	39	21	1.73	1
KMT2C	133	20	1.65	1
FAT4	183	20	1.65	1
CTNNA2	141	19	1.56	2
ERBB2	37	18	1.48	2
ATF7IP	32	13	1.07	1
CSMD3	580	13	1.07	1
EPHA7	49	13	1.07	1
RHPN2	26	12	0.99	1
PARP4	39	12	0.99	1
PER3	25	11	0.91	1
GNAS	16	10	0.82	1
ACVR1B	23	9	0.74	1
FLCN	13	9	0.74	1
CUX1	36	9	0.74	1
DCAF12L2	74	9	0.74	1
NCOA2	33	9	0.74	1
SETD1B	20	9	0.74	1
ANK1	86	8	0.66	1
MAP2K1	14	8	0.66	1
SPEN	51	8	0.66	1
CIC	17	8	0.66	1
FBXW7	25	7	0.58	1
SMAD4	47	7	0.58	1
KDM5C	41	7	0.58	1
ARAF	16	7	0.58	1
BCOR	46	7	0.58	1
CRLF2	16	7	0.58	1
BIRC6	91	7	0.58	1
TRRAP	72	7	0.58	1
PPM1D	14	6	0.49	2
VAV1	20	6	0.49	1
FLT4	46	5	0.41	1
SLC34A2	32	5	0.41	1
AFF3	31	5	0.41	1
EP300	20	4	0.33	1
ZMYM3	32	4	0.33	1
PTEN	20	4	0.33	1
NBEA	59	4	0.33	1
CBLB	23	4	0.33	1
NOTCH1	59	4	0.33	1
TSC1	20	3	0.25	1
NRAS	6	3	0.25	1
RPL5	19	3	0.25	1
NFKBIE	11	3	0.25	1
PBRM1	20	3	0.25	1
NCOR1	43	2	0.16	1
RBM15	20	2	0.16	1
PHF6	7	2	0.16	1
MACC1	23	2	0.16	1
